sites,canopy,temp,pH,do,tds,turbidity,depth,sand,gravel,fpom,cpom,bryophytes,small_wood,large_wood,type
ARBP01,1.015708424,1.294003531,0.67248432,1.368658111,1.054614434,0.578447168,11.9,1.570796327,0.505160656,0.859216671,0.859216671,0.965781179,0.713724379,0.663797133,steephead
BB01,0.713724379,1.33243846,0.737192643,0.308169645,1.546542663,0.563481085,21.38,0.387596687,0.387596687,1.570796327,1.570796327,0.387596687,0.387596687,0.563942641,non-steephead
BC01,1.376997983,1.286261549,0.717249322,1.05166557,0.997773725,0.120274624,11.625,1.570796327,0.475769664,1.288825006,0.94846201,0.710507295,1.020135794,0.563942641,steephead
BRSF01,1.18319964,1.29666519,0.639486489,1.221695907,0.959041392,0.269512944,12.4,1.570796327,0.713724379,0.713724379,0.857071948,0.857071948,0.563942641,0.563942641,non-steephead
CB01,1.18319964,1.33243846,0.710117365,0.529353287,0.968482949,0.599883072,10.67,0.563942641,0.387596687,1.570796327,1.18319964,1.18319964,1.006853685,0.713724379,steephead
CCR01,1.006853685,1.243038049,0.933487288,0.93774449,1.527629901,0.741151599,12.67,1.570796327,0.387596687,0.387596687,0.857071948,0.387596687,0.387596687,0.387596687,non-steephead
EAFB01,1.302969124,1.316762121,0.74893982,1.11265427,1.020391605,0.431630378,13.4375,1.493276989,0.563942641,0.668029348,0.787006706,0.828402434,0.712115837,0.668029348,steephead
EAFB02,1.095026663,1.333418049,0.710535301,1.407437457,0.966084623,0.332813944,8.75,1.570796327,0.475769664,0.713724379,0.857071948,0.563942641,0.857071948,0.563942641,steephead
JB01,1.124955057,1.268851549,0.8204507,1.095053835,1.634971901,1.018513467,4.756,1.570796327,0.458135069,0.764463729,0.741107059,0.741107059,0.741107059,0.523360607,non-steephead
LCMA01,1.18319964,1.447158031,0.809559715,1.100927584,1.428134794,0.462397998,6.25,1.570796327,0.387596687,0.713724379,1.18319964,0.563942641,0.713724379,0.387596687,non-steephead
LCMA02,1.18319964,1.352182518,0.692846919,1.196024606,1.100370545,0.334453751,7.67,1.570796327,0.387596687,1.18319964,1.18319964,0.713724379,0.713724379,0.563942641,non-steephead
LCWMA03,0.860289032,1.26483065,0.877669066,1.09050016,1.442810633,0.530010662,9.315,1.570796327,0.63883351,1.376997983,1.095026663,0.63883351,0.785398163,0.387596687,non-steephead
LTSF01,1.225449787,1.279499887,0.76151366,1.113855757,0.85953709,0.523462843,11.48,1.570796327,0.458135069,0.682481198,0.742393893,0.988809859,0.563942641,0.493404259,steephead
LTSF02,1.18319964,1.369215857,0.705007959,1.197494702,1.029383778,0.895974732,9,1.570796327,0.563942641,0.713724379,0.713724379,0.713724379,0.713724379,0.713724379,steephead
PB01,0.601388076,1.308282711,0.751302752,1.232313903,1.395856738,0.668340287,11.75,1.570796327,0.431683175,0.718756891,0.557301587,0.601388076,0.601388076,0.387596687,non-steephead
RES01,0.713724379,1.230448921,0.783903579,0.808406282,1.488550717,0.916453949,15,1.570796327,0.387596687,0.387596687,1.18319964,0.387596687,0.563942641,0.387596687,non-steephead
RES04,1.18319964,1.243038049,0.660865478,0.626749469,1.641474111,0.440909082,16.6,1.570796327,0.387596687,0.857071948,1.570796327,0.857071948,1.18319964,0.857071948,non-steephead
RES05,1.18319964,1.274157849,0.652246341,0.318402248,1.408239965,0.774516966,11.75,0.563942641,0.387596687,1.570796327,1.570796327,1.18319964,1.18319964,1.18319964,non-steephead
TSP01,1.570796327,1.33243846,0.691081492,1.182995558,0.851258349,0.583198774,7.6,1.570796327,0.563942641,0.857071948,0.713724379,0.713724379,0.857071948,0.563942641,steephead
TSP02,1.570796327,1.326335861,0.67669361,1.042590936,0.77815125,0.536558443,3.13,1.570796327,0.713724379,0.713724379,0.857071948,0.857071948,1.18319964,1.006853685,steephead
